date,league,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,source_file
2019-08-25,Ligue 1,19-20,Monaco,Nimes,2,2,D,16.0,14.0,6.0,4.0,6.0,7.0,14.0,17.0,2.0,1.0,1.0,0.0,1.6,3.8,6.0,Le Championnat\19-20.csv
2019-08-25,Ligue 1,19-20,Paris SG,Toulouse,4,0,H,21.0,3.0,11.0,0.0,12.0,1.0,8.0,13.0,0.0,1.0,0.0,0.0,1.1,10.0,21.0,Le Championnat\19-20.csv
2019-08-25,Ligue 1,19-20,Strasbourg,Rennes,0,2,A,19.0,7.0,3.0,4.0,6.0,0.0,13.0,13.0,4.0,2.0,1.0,0.0,2.75,3.1,2.7,Le Championnat\19-20.csv
2019-08-25,Premier League,19-20,Bournemouth,Man City,1,3,A,10.0,19.0,7.0,5.0,4.0,5.0,7.0,13.0,1.0,3.0,0.0,0.0,15.0,7.5,1.16,Premier League\19-20.csv
2019-08-25,Premier League,19-20,Tottenham,Newcastle,0,1,A,17.0,8.0,2.0,3.0,6.0,6.0,10.0,5.0,2.0,2.0,0.0,0.0,1.2,6.5,14.0,Premier League\19-20.csv
2019-08-25,Premier League,19-20,Wolves,Burnley,1,1,D,17.0,13.0,2.0,4.0,4.0,3.0,9.0,11.0,0.0,2.0,0.0,0.0,1.85,3.4,4.5,Premier League\19-20.csv
2019-08-25,Serie A,19-20,Cagliari,Brescia,0,1,A,9.0,8.0,5.0,3.0,8.0,8.0,10.0,11.0,2.0,2.0,0.0,0.0,1.83,3.6,4.33,Seire\19-20.csv
2019-08-25,Serie A,19-20,Roma,Genoa,3,3,D,17.0,6.0,9.0,4.0,5.0,1.0,15.0,13.0,3.0,1.0,0.0,0.0,1.45,4.2,8.0,Seire\19-20.csv
2019-08-25,Serie A,19-20,Sampdoria,Lazio,0,3,A,12.0,16.0,8.0,10.0,5.0,9.0,13.0,11.0,2.0,2.0,0.0,0.0,3.5,3.4,2.05,Seire\19-20.csv
2019-08-25,Serie A,19-20,Spal,Atalanta,2,3,A,8.0,18.0,3.0,14.0,2.0,10.0,13.0,16.0,2.0,1.0,0.0,0.0,4.75,3.75,1.72,Seire\19-20.csv
2019-08-25,Serie A,19-20,Torino,Sassuolo,2,1,H,7.0,13.0,4.0,9.0,6.0,6.0,21.0,15.0,4.0,3.0,0.0,0.0,1.85,3.5,4.33,Seire\19-20.csv
