date,league,home_team,away_team,market_H,market_D,market_A,nomarket_H,nomarket_D,nomarket_A,poisson_home_xg,poisson_away_xg,poisson_diff,market_pick,nomarket_pick,market_confidence,nomarket_confidence,models_agree,market_nomarket_disagree,actual_result,home_odds,draw_odds,away_odds
2021-09-11,Premier League,Watford,Wolves,0.2566901240094499,0.3036601967579064,0.4396496792326436,0.252009396111003,0.2986581108213675,0.4493324930676295,1.0704782728880684,1.6282204252925818,0.5577421524045134,A,A,0.4396496792326436,0.4493324930676295,True,False,A,3.4,3.2,2.25
2021-09-11,Premier League,Southampton,West Ham,0.304935247575112,0.2916565445354489,0.403408207889439,0.2244778056289697,0.2559271102854219,0.5195950840856083,1.3622698113188276,1.5836648295428142,0.2213950182239865,A,A,0.403408207889439,0.5195950840856083,True,False,D,2.9,3.5,2.4
2021-09-11,Premier League,Man United,Newcastle,0.8101736391900121,0.1221106113198992,0.0677157494900887,0.690843237054632,0.196641927735674,0.112514835209694,2.895397998900548,0.7857138872471578,-2.10968411165339,H,H,0.8101736391900121,0.690843237054632,True,False,H,1.18,7.5,15.0
2021-09-11,Premier League,Leicester,Man City,0.1423071545515974,0.2145615058134866,0.643131339634916,0.1381485116342898,0.181634670349938,0.6802168180157722,1.064041165603551,2.5463471373823987,1.4823059717788476,A,A,0.643131339634916,0.6802168180157722,True,False,A,6.0,4.0,1.57
2021-09-11,Premier League,Crystal Palace,Tottenham,0.2029621656205772,0.2675201308777746,0.5295177035016481,0.2271231369396754,0.2540973940992868,0.5187794689610377,1.0685816821049576,1.6287459745074644,0.5601642924025068,A,A,0.5295177035016481,0.5187794689610377,True,False,H,4.2,3.5,1.9
2021-09-11,Premier League,Chelsea,Aston Villa,0.7560950236185835,0.1567224571409107,0.0871825192405058,0.6508391030372602,0.2245437114963878,0.1246171854663519,2.5002042475412387,0.7914303538965043,-1.7087738936447343,H,H,0.7560950236185835,0.6508391030372602,True,False,H,1.28,5.5,11.0
2021-09-11,Premier League,Brentford,Brighton,0.319126483527529,0.312677503460139,0.3681960130123319,0.4131280962158759,0.2802457545989752,0.3066261491851488,1.1202373755593051,1.2656166481330662,0.145379272573761,A,H,0.3681960130123319,0.4131280962158759,False,True,A,2.8,3.2,2.62
2021-09-11,Ligue 1,Paris SG,Clermont,0.7724856056584141,0.1422917019703351,0.0852226923712507,0.5927935990409522,0.2267814926849677,0.1804249082740799,2.6509486630004826,0.9322294858077562,-1.7187191771927264,H,H,0.7724856056584141,0.5927935990409522,True,False,H,1.25,6.5,10.0
2021-09-11,Bundesliga,Freiburg,FC Koln,0.421181815205342,0.2862551769760503,0.2925630078186076,0.4404824292278296,0.2933417542106535,0.2661758165615168,1.4414634986599713,1.216334022614769,-0.2251294760452022,H,H,0.421181815205342,0.4404824292278296,True,False,D,2.2,3.6,3.1
2021-09-11,Ligue 1,Monaco,Marseille,0.472198071741727,0.2804151208354708,0.2473868074228022,0.4698585751375886,0.2430448376241924,0.287096587238219,1.5968954988517157,1.090932584352906,-0.5059629144988096,H,H,0.472198071741727,0.4698585751375886,True,False,A,2.0,3.6,3.6
