date,group,stage,round,match_id,home_team,away_team,home_goals,away_goals,status,aet,penalties_home,penalties_away,winner,source_url,source_event_date,matched_date_source,fetched_at
2026-06-30,,Round of 32,Round of 32,R32_05,Ivory Coast,Norway,1.0,2.0,completed,False,,,Norway,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260630,2026-06-30,exact,2026-07-10T12:20:53.972239+00:00
2026-06-30,,Round of 32,Round of 32,R32_04,Netherlands,Morocco,1.0,1.0,completed,False,2.0,3.0,Morocco,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260629,2026-06-30,exact,2026-07-10T12:20:43.853884+00:00
2026-07-01,,Round of 32,Round of 32,R32_09,Belgium,Senegal,3.0,2.0,completed,True,,,Belgium,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260701,2026-07-01,exact,2026-07-10T12:21:03.637098+00:00
2026-07-01,,Round of 32,Round of 32,R32_08,England,Congo DR,2.0,1.0,completed,False,,,England,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260701,2026-07-01,exact,2026-07-10T12:21:03.637098+00:00
2026-07-01,,Round of 32,Round of 32,R32_07,Mexico,Ecuador,2.0,0.0,completed,False,,,Mexico,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260630,2026-07-01,exact,2026-07-10T12:20:53.972239+00:00
2026-07-02,,Round of 32,Round of 32,R32_12,Portugal,Croatia,2.0,1.0,completed,False,,,Portugal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260702,2026-07-02,exact,2026-07-10T12:21:13.985009+00:00
2026-07-02,,Round of 32,Round of 32,R32_11,Spain,Austria,3.0,0.0,completed,False,,,Spain,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260702,2026-07-02,exact,2026-07-10T12:21:13.985009+00:00
2026-07-02,,Round of 32,Round of 32,R32_10,United States,Bosnia-Herzegovina,2.0,0.0,completed,False,,,United States,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260701,2026-07-02,exact,2026-07-10T12:21:03.637098+00:00
2026-07-03,,Round of 32,Round of 32,R32_15,Argentina,Cape Verde,3.0,2.0,completed,True,,,Argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260703,2026-07-03,exact,2026-07-10T12:21:23.474656+00:00
2026-07-03,,Round of 32,Round of 32,R32_14,Australia,Egypt,1.0,1.0,completed,False,2.0,4.0,Egypt,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260703,2026-07-03,exact,2026-07-10T12:21:23.474656+00:00
2026-07-03,,Round of 32,Round of 32,R32_13,Switzerland,Algeria,2.0,0.0,completed,False,,,Switzerland,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260702,2026-07-03,exact,2026-07-10T12:21:13.985009+00:00
2026-07-04,,Round of 16,Round of 16,R16_01,Canada,Morocco,0.0,3.0,completed,False,,,Morocco,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260704,2026-07-04,exact,2026-07-10T12:21:32.145543+00:00
2026-07-04,,Round of 32,Round of 32,R32_16,Colombia,Ghana,1.0,0.0,completed,False,,,Colombia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260703,2026-07-04,exact,2026-07-10T12:21:23.474656+00:00
2026-07-04,,Round of 16,Round of 16,R16_02,Paraguay,France,0.0,1.0,completed,False,,,France,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260704,2026-07-04,exact,2026-07-10T12:21:32.145543+00:00
2026-07-05,,Round of 16,Round of 16,R16_03,Brazil,Norway,1.0,2.0,completed,False,,,Norway,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260705,2026-07-05,exact,2026-07-10T12:21:40.744744+00:00
2026-07-06,,Round of 16,Round of 16,R16_04,Mexico,England,2.0,3.0,completed,False,,,England,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260705,2026-07-06,exact,2026-07-10T12:21:40.744744+00:00
2026-07-06,,Round of 16,Round of 16,R16_05,Portugal,Spain,0.0,1.0,completed,False,,,Spain,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260706,2026-07-06,exact,2026-07-10T12:21:49.768943+00:00
2026-07-07,,Round of 16,Round of 16,R16_07,Argentina,Egypt,3.0,2.0,completed,False,,,Argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260707,2026-07-07,exact,2026-07-10T12:21:57.004725+00:00
2026-07-07,,Round of 16,Round of 16,R16_08,Switzerland,Colombia,0.0,0.0,completed,False,4.0,3.0,Switzerland,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260707,2026-07-07,exact,2026-07-10T12:21:57.004725+00:00
2026-07-07,,Round of 16,Round of 16,R16_06,United States,Belgium,1.0,4.0,completed,False,,,Belgium,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260706,2026-07-07,exact,2026-07-10T12:21:49.768943+00:00
2026-07-09,,Quarter Final,Quarter Final,QF_01,France,Morocco,2.0,0.0,completed,False,,,France,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260709,2026-07-09,exact,2026-07-10T12:22:11.549116+00:00
